FID,name,address,products,latitude,longitude
122,Veterinaria,"Plutarco Elias Calles 344  Col. 2A Burocrata, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.73394903,-106.4405181
123,Veterinaria,"Rafael Velarde 2396  Col. Monterrey, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.72361445,-106.4907357
124,Veterinaria,"Obaldia 1571  Col. Heroes De Mexico, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.61661381,-106.3477718
125,Veterinaria  Estetica Orion,"Valentin Fuentes 2069  Col. Fracc El Portal, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.71224333,-106.4341532
126,Veterinaria  Zak,"Tecnologico 5298 2 Col. Emiliano Zapata, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.7359085,-106.4247069
127,Veterinaria 101 Mascotas Y Algo Mas,"Quinta 1574  Col. Torres Del Pri, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.6353759,-106.388741
128,Veterinaria 4 Patas La Original,"Santiago Blancas 7804  Col. Roma, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.63593668,-106.3973281
129,Veterinaria Aeropuerto,"Manuel J. Clouthier (Jilotepec) 7505  Col. Ampliacion Aeropuerto, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.6686658,-106.415589
130,Veterinaria Albeytares,"Ejido San Valentin 1114  Col. Morelos 2, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.63894904,-106.3728077
131,Veterinaria Alfs,"Cloro 1753  Col. Altavista, Juarez, Chihuahua",Comercio al por menor de mascotas,31.75446133,-106.5009547
132,Veterinaria Alve,"Cantera 110  Col. Morelos, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.67923374,-106.4774027
133,Veterinaria Alyjo,"Napoles   Col. Praderas De Los Oasis Ii, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.65728053,-106.463106
134,Veterinaria Angeles,"Margarito Herrera 7402  Col. Fernando Baeza M, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.64255122,-106.3926843
135,Veterinaria Animal Care,"De Los Insurgentes 1918  Col. Ex Hipodromo, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.73292368,-106.4674475
136,Veterinaria Anivis,"Iztaccihuatl 5512  Col. Erendira, Juarez, Chihuahua",Comercio al por menor de mascotas,31.67346559,-106.4163013
137,Veterinaria Arnal Reveles,"Puerto De Palos 1388 3 Col. Patria, Juarez, Chihuahua",Comercio al por mayor de medicamentos veterinarios y alimentos para animales,31.62205998,-106.3436049
